Name,Team,Games Played,Kicks,Handballs,Disposals,Marks,Goals,Behinds,Tackles,Hitouts,Inside 50s,Goal Assists,Contested Possessions,Uncontested Possessions,Effective Disposals,Disposal Efficiency,Clangers,Contested Marks,Marks Inside 50,Clearances,Centre Clearances,Stoppage Clearances,Rebound 50s,One Percenters,Bounces,Metres Gained,Score Involvements,Turnovers,Intercepts,Tackles Inside 50,Time On Ground
Darcy Parish,Essendon,21,10.62,10.0,20.62,2.9,0.57,0.43,3.81,0.0,3.29,0.52,8.52,12.24,14.62,70.9,2.0,0.05,0.48,3.14,0.9,2.24,1.14,0.71,0.24,263.48,4.81,3.86,2.14,0.76,73.43
Jimmy Webster,St Kilda,8,10.62,6.38,17.0,2.62,0.0,0.0,1.88,0.0,1.75,0.12,5.12,11.38,12.62,74.24,2.5,0.25,0.0,0.38,0.12,0.25,3.62,3.0,0.0,287.12,2.62,3.25,5.38,0.0,82.12
Patrick Cripps,Carlton,20,10.6,17.5,28.1,3.1,0.65,0.3,6.15,0.0,3.1,0.3,16.95,11.35,19.95,71.0,4.3,0.85,0.25,8.4,3.3,5.1,1.15,1.45,0.45,268.65,5.15,4.05,2.8,0.75,89.85
Sam Menegola,Geelong,12,10.58,8.42,19.0,4.83,0.25,0.5,3.17,0.0,3.0,0.67,7.83,11.92,13.25,69.74,2.08,0.5,0.08,1.67,0.42,1.25,2.25,1.42,0.0,281.5,4.33,2.83,3.0,0.58,76.92
Shaun Atley,North Melbourne,21,10.57,9.57,20.14,3.38,0.0,0.14,1.81,0.0,2.24,0.33,5.43,15.14,16.05,79.69,2.05,0.19,0.0,0.52,0.14,0.38,2.33,1.71,1.57,290.05,3.57,3.33,4.29,0.05,87.43
Jarrod Berry,Brisbane,20,10.55,9.05,19.6,4.45,0.4,0.5,3.75,0.0,3.6,0.65,8.15,12.05,14.75,75.26,2.7,0.15,0.45,2.9,1.15,1.75,1.2,1.35,0.2,303.35,5.55,3.4,2.85,0.65,77.55
Jeremy McGovern,West Coast,23,10.52,4.39,14.91,7.09,0.04,0.04,1.57,0.52,0.96,0.13,6.74,7.96,12.22,81.96,1.74,1.96,0.13,0.17,0.0,0.17,3.87,6.48,0.17,223.13,2.7,2.78,8.57,0.0,84.48
Kane Lambert,Richmond,21,10.52,11.19,21.71,4.62,0.86,0.29,3.33,0.0,3.52,0.62,7.33,14.33,15.67,72.18,2.71,0.14,0.81,2.33,0.19,2.14,1.24,1.05,0.19,302.71,6.48,3.81,2.1,0.76,85.86
Callum Mills,Sydney,22,10.5,7.91,18.41,6.18,0.05,0.0,2.64,0.0,0.95,0.14,4.64,12.68,14.77,80.23,2.27,0.73,0.05,0.41,0.05,0.36,3.64,3.59,0.0,266.95,2.41,3.05,5.55,0.05,86.09
Robbie Tarrant,North Melbourne,22,10.5,5.27,15.77,6.23,0.05,0.0,1.68,0.0,1.18,0.14,5.0,10.23,13.5,85.61,2.41,0.82,0.0,0.14,0.05,0.09,4.45,7.0,0.0,271.18,2.32,2.82,6.45,0.0,90.45
Chad Wingard,Hawthorn,14,10.5,8.0,18.5,3.21,0.86,0.64,4.29,0.0,4.57,0.71,6.71,11.57,12.36,66.81,2.57,0.21,0.86,2.93,0.79,2.14,0.21,0.57,0.5,341.21,5.86,4.5,2.14,0.86,75.36
Lachlan Plowman,Carlton,21,10.48,4.05,14.52,4.57,0.0,0.0,2.29,0.0,1.0,0.1,4.71,8.24,11.19,77.07,1.62,0.33,0.05,0.48,0.05,0.43,3.62,5.0,0.14,218.43,1.81,2.52,6.48,0.05,92.86
David Mundy,Fremantle,22,10.45,12.41,22.86,2.73,0.36,0.32,3.95,0.05,3.68,0.73,11.91,12.32,15.82,69.2,2.77,0.09,0.41,5.64,2.27,3.36,1.36,2.27,0.0,271.09,5.27,3.73,2.36,0.41,75.27
Charlie Curnow,Carlton,11,10.45,1.82,12.27,4.45,1.64,0.73,1.55,0.0,2.45,0.36,6.55,5.36,6.82,55.58,1.91,1.55,1.36,0.09,0.0,0.09,0.18,1.0,0.09,301.0,4.36,3.64,0.64,0.55,76.73
Alex Keath,Adelaide,18,10.44,5.89,16.33,6.22,0.06,0.0,1.67,0.22,1.11,0.0,7.0,9.33,12.44,76.18,2.22,1.11,0.0,0.28,0.0,0.28,3.17,5.11,0.0,222.67,2.06,3.5,8.28,0.0,84.78
Christopher Mayne,Collingwood,21,10.38,8.71,19.1,5.48,0.19,0.1,2.67,0.0,0.95,0.24,5.62,12.67,15.67,82.04,1.67,0.24,0.33,1.43,0.19,1.24,1.71,2.0,0.1,152.43,3.52,1.76,4.48,0.19,81.38
Michael Hibberd,Melbourne,19,10.37,6.68,17.05,3.95,0.0,0.11,1.53,0.0,2.11,0.16,5.42,11.21,12.11,71.03,2.79,0.32,0.0,0.42,0.05,0.37,4.26,3.05,0.11,336.05,2.42,4.95,5.89,0.0,81.74
Marty Hore,Melbourne,14,10.36,5.21,15.57,4.93,0.07,0.0,1.5,0.0,1.5,0.0,5.64,9.57,10.79,69.3,2.79,0.64,0.0,0.36,0.0,0.36,4.21,4.43,0.0,263.07,2.0,4.07,7.07,0.0,80.14
Adam Kennedy,GWS,23,10.35,5.7,16.04,4.87,0.17,0.04,1.87,0.0,1.96,0.26,3.7,12.43,12.52,78.05,1.61,0.13,0.09,0.7,0.22,0.48,2.26,1.3,0.96,270.22,2.61,2.7,3.13,0.09,79.26
Jacob Dawson,Gold Coast,6,10.33,6.67,17.0,7.0,0.0,0.0,2.17,0.0,0.67,0.17,4.0,12.83,12.83,75.47,2.5,0.5,0.0,0.5,0.17,0.33,2.5,2.0,0.0,181.5,2.0,3.17,4.17,0.0,83.5
Connor Menadue,Richmond,6,10.33,3.83,14.17,3.17,0.0,0.0,2.17,0.0,1.5,0.0,5.33,9.0,10.5,74.1,1.67,0.0,0.17,0.67,0.0,0.67,2.0,2.5,0.33,262.0,2.67,3.83,3.5,0.17,77.83
Will Hoskin-Elliott,Collingwood,19,10.32,4.58,14.89,6.74,1.0,0.42,1.74,0.0,2.79,0.68,4.21,10.74,10.79,72.46,1.58,0.58,1.32,0.05,0.0,0.05,0.58,1.63,0.21,238.05,4.05,2.63,2.68,0.42,84.74
David MacKay,Adelaide,18,10.28,6.94,17.22,3.17,0.17,0.06,2.72,0.0,2.67,0.33,4.83,12.78,13.28,77.12,1.67,0.0,0.0,1.0,0.17,0.83,3.28,1.72,0.39,308.28,4.06,2.89,3.33,0.11,82.72
Scott Thompson,North Melbourne,19,10.26,4.95,15.21,4.68,0.0,0.0,1.84,0.0,0.89,0.16,4.68,7.89,12.42,81.66,2.11,1.11,0.0,0.05,0.0,0.05,4.95,3.95,0.11,296.26,2.42,2.89,6.16,0.05,86.37
Martin Gleeson,Essendon,9,10.22,6.33,16.56,4.44,0.0,0.11,1.22,0.0,1.44,0.22,6.0,10.44,12.56,75.85,2.89,0.78,0.0,0.22,0.0,0.22,2.56,5.0,0.0,244.56,2.78,4.0,7.22,0.0,84.0
Xavier Duursma,Port Adelaide,20,10.2,9.4,19.6,5.7,0.55,0.65,2.1,0.0,2.35,0.35,6.5,12.8,14.6,74.49,2.3,0.2,0.8,1.8,0.45,1.35,1.25,1.05,0.25,287.95,4.9,3.45,3.55,0.5,83.25
Luke Brown,Adelaide,15,10.2,4.93,15.13,3.87,0.07,0.13,1.67,0.0,0.73,0.07,4.53,8.33,12.47,82.42,1.13,0.13,0.0,0.13,0.0,0.13,3.93,2.0,0.53,256.07,2.13,2.6,5.2,0.0,84.6
